,TICKER,EST_DATE,MEASURE,FPI,MEANEST,ACT_DATE,ACTUAL
461,AAPL,20130214,EPS,5,2.17,20170930,2.3025
311,AAPL,20130314,EPS,1,1.58,20130930,1.4196
360,AAPL,20130314,EPS,2,1.78,20140930,1.6125
462,AAPL,20130314,EPS,5,2.17,20170930,2.3025
312,AAPL,20130418,EPS,1,1.56,20130930,1.4196
361,AAPL,20130418,EPS,2,1.75,20140930,1.6125
463,AAPL,20130418,EPS,5,2.17,20170930,2.3025
313,AAPL,20130516,EPS,1,1.42,20130930,1.4196
362,AAPL,20130516,EPS,2,1.58,20140930,1.6125
464,AAPL,20130516,EPS,5,2.01,20170930,2.3025
314,AAPL,20130620,EPS,1,1.41,20130930,1.4196
363,AAPL,20130620,EPS,2,1.56,20140930,1.6125
465,AAPL,20130620,EPS,5,2.01,20170930,2.3025
315,AAPL,20130718,EPS,1,1.41,20130930,1.4196
364,AAPL,20130718,EPS,2,1.55,20140930,1.6125
466,AAPL,20130718,EPS,5,1.17,20170930,2.3025
316,AAPL,20130815,EPS,1,1.4,20130930,1.4196
